Description,Price,Rating,ReviewCount,Url
Acer Extensa Laptop Intel Pentium Quad Core (4 GB/256GB NVMe SSD/Windows 11 Home/Black) EX215-31 with 39.6 cm (15.6 inch) Full HD Display,"₹25,100",1.0 out of 5 stars,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjEwODk2MTkwMDk4ODE3OjE2NzA4MjA5MDg6c3BfbXRmOjIwMDc5Nzc1MTY5Mzk4OjowOjo&url=%2FAcer-Extensa-Pentium-Windows-EX215-31%2Fdp%2FB0B8ZVWNWG%2Fref%3Dsr_1_11_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820908%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Acer Nitro 5 Gaming Laptop Intel Core i5-11400H 11th Gen Processor (16GB/512GB SSD/ NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics/Windows 11 Home/RGB),AN515-57 with 15.6""(39.6cm) FHD 144Hz IPS Display","₹59,990",4.1 out of 5 stars,370,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjEwODk2MTkwMDk4ODE3OjE2NzA4MjA5MDg6c3BfbXRmOjIwMDczMjM1ODIxMTk4OjowOjo&url=%2FAcer-i5-11400H-Processor-Graphics-AN515-57%2Fdp%2FB0B3XPG9WG%2Fref%3Dsr_1_12_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820908%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Acer Extensa 15 Lightweight Laptop Intel Core i5 11th Gen Processor - (8 GB/ 512 GB SSD/ Windows 11 Home/ 1.7kg/ Black/ Elevated Hinge Design) EX215-54 with 39.6 cm (15.6 inches) FHD Display,"₹40,990",4.0 out of 5 stars,411,https://www.amazon.in/Acer-Extensa-Lightweight-Laptop-Processor/dp/B0B5ZMV9T9/ref=sr_1_13?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820908&sprefix=laptop%2Caps%2C214&sr=8-13
"HP 14s, 11th Gen Intel Core i3-1115G4, 8GB RAM/256GB SSD 14-inch(35.6 cm) Micro-Edge, Anti-Glare, FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/ MSO 2021/1.41 Kg, 14s-dy2507TU","₹36,990",4.1 out of 5 stars,269,https://www.amazon.in/HP-i3-1115G4-Micro-Edge-Anti-Glare-14s-dy2507TU/dp/B0B63Y75P9/ref=sr_1_14?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820908&sprefix=laptop%2Caps%2C214&sr=8-14
"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","₹25,990",3.9 out of 5 stars,751,https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_15?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820908&sprefix=laptop%2Caps%2C214&sr=8-15
"Samsung Galaxy Book2 Intel 12th Gen core i5 39.6cm (15.6"") FHD LED Thin & Light Laptop (8 GB/512 GB SSD/Windows 11/MS Office/Backlit Keyboard/Finger Print Reader/Silver/1.55Kg), NP750XED-KC1IN","₹59,990",4.1 out of 5 stars,33,https://www.amazon.in/Samsung-Windows-Backlit-Keyboard-NP750XED-KC1IN/dp/B09Z216R5Q/ref=sr_1_16?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820908&sprefix=laptop%2Caps%2C214&sr=8-16
"Honor MagicBook 15, AMD Ryzen 5 5500U 15.6-inch (39.62 cm) FHD IPS Anti-Glare Thin and Light Laptop (8GB/256GB PCIe SSD/Windows 11/ Metal Body/Fingerprint Login/1.54Kg), Gray, BohrM-WDQ9CHNE","₹39,990",4.4 out of 5 stars,268,https://www.amazon.in/Honor-MagicBook-Anti-Glare-Fingerprint-BohrM-WDQ9CHNE/dp/B0BC9S5DLW/ref=sr_1_17?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820908&sprefix=laptop%2Caps%2C214&sr=8-17
"Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Game Pass/Arctic Grey/1.65Kg), 82H802FJIN","₹37,279",4.1 out of 5 stars,439,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82H802FJIN/dp/B09Q5QLHSQ/ref=sr_1_18?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820908&sprefix=laptop%2Caps%2C214&sr=8-18
"Dell Inspiron 3520 Laptop, Intel Core i5-1235U, 8GB, 512GB SSD, 15.6"" (39.62Cms) FHD WVA AG 120Hz 250 nits, Win 11 + MSO'21, Black (D560871WIN9B, 1.65Kgs)","₹56,000",3.0 out of 5 stars,3,https://www.amazon.in/Dell-Inspiron-i5-1235U-39-62Cms-D560871WIN9B/dp/B0BH4SCYQ3/ref=sr_1_19?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820908&sprefix=laptop%2Caps%2C214&sr=8-19
"HP 15s,11th Gen Intel Core i3-1115G4 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/ MS Office 2021/1.69 Kg, 15s-fq2673TU","₹43,490",4.1 out of 5 stars,842,https://www.amazon.in/HP-i3-1115G4-Micro-Edge-Anti-Glare-15s-fq2673TU/dp/B0B4N6JVMW/ref=sr_1_20?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820908&sprefix=laptop%2Caps%2C214&sr=8-20
"Acer Aspire 3 (AMD Ryzen 3-3250U/ 8GB/ 256 GB SSD/ Windows 11 Home/ MS Office) A315-23 with 39.6 cm (15.6"") Full HD Display /1.9kg","₹29,091",4.0 out of 5 stars,298,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjEwODk2MTkwMDk4ODE3OjE2NzA4MjA5MDg6c3BfYnRmOjIwMDc5MzM4MDIwMjk4OjowOjo&url=%2FAcer-3-3250U-Windows-A315-23-Display%2Fdp%2FB0B7SC16YM%2Fref%3Dsr_1_21_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820908%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Acer Nitro 5 Gaming Laptop Intel core i7 11th Gen (16 GB/ 512 GB SSD/ NVIDIA® GeForce RTX 3050 Ti/ Windows 11 Home/144hz) AN515-57 with 39.6 cm (15.6 inches) IPS Display / 2.2 Kgs,"₹79,990",3.9 out of 5 stars,8,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjEwODk2MTkwMDk4ODE3OjE2NzA4MjA5MDg6c3BfYnRmOjIwMDc5MzUzMjcyMTk4OjowOjo&url=%2FAcer-NVIDIA%25C2%25AE-GeForce-Windows-AN515-57%2Fdp%2FB0B9YBHNTP%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820908%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
